,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
96,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",408647,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
97,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",407127,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
98,"I Like Me Better",Lauv,402294,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
99,"Tere Naal","Tulsi Kumar",399400,https://open.spotify.com/track/2Vw94w6FxCyaYwyCivi9Py
100,"Born to Shine","Diljit Dosanjh",399281,https://open.spotify.com/track/4XxfOvudrnBRdlgzEaq1sd
101,Anyone,"Justin Bieber",399253,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
102,willow,"Taylor Swift",397730,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
103,"Jaan 'Nisaar (Arijit)","Arijit Singh",397411,https://open.spotify.com/track/6pzlnyHTVYi5FOmrgOmC95
104,"Intentions (feat. Quavo)","Justin Bieber",395367,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
105,"Shape of You","Ed Sheeran",395275,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
106,Butterfly,"Jass Manak",394319,https://open.spotify.com/track/0bII0GX8CepFivbJkscZlE
107,Faded,"Alan Walker",392974,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
108,Umbrella,"Ember Island",392670,https://open.spotify.com/track/2FX5HPP1FNNuLlt2UU9os7
109,"Someone You Loved","Lewis Capaldi",392608,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
110,"Can We Kiss Forever?",Kina,391686,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
111,"Boy With Luv (feat. Halsey)",BTS,388412,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
112,G.O.A.T.,"Diljit Dosanjh",387568,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
113,"Tum Se Hi",Pritam,386291,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE
114,Sakhiyaan,"Maninder Buttar",386123,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
115,"Nee Kannu Neeli Samudram","Devi Sri Prasad",380552,https://open.spotify.com/track/4kEWOqFxFAihLq2dtQPwCI
116,"Sugar & Brownies",DHARIA,379747,https://open.spotify.com/track/3EZocpoj4dsFqsluUGHnwT
117,"Dance Monkey","Tones And I",378106,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
118,"Haan Main Galat",Pritam,376563,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
119,"Dil Diyan Gallan","Atif Aslam",376034,https://open.spotify.com/track/0FBQ4NrrHUbR9kus7rzrOj
120,"Saada Pyaar","AP Dhillon",375417,https://open.spotify.com/track/5gSVKG0R4xc8qtDIoyDNy8
121,Satisfya,"Imran Khan",375241,https://open.spotify.com/track/6HGoVbCUr63SgU3TjxEVj6
122,"Bujji (From ""Jagame Thandhiram"")","Santhosh Narayanan",374947,https://open.spotify.com/track/6rJhjykEkCqm3H64uALhhf
123,"Lagdi Lahore Di (From ""Street Dancer 3D"")","Guru Randhawa",374280,https://open.spotify.com/track/5ZQnQnbUVtBO0pl3ShqVHG
124,"Kun Faya Kun","A.R. Rahman",374107,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6
125,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",373661,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
126,"At My Worst","Pink Sweat$",370213,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
127,"Let Me Love You","DJ Snake",369747,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
128,"Buttabomma - Telugu","Armaan Malik",369415,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS
129,"Love Story (Taylor’s Version)","Taylor Swift",368260,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf
130,"Humdard (From ""Ek Villain"")","Arijit Singh",367722,https://open.spotify.com/track/2PvaburAUlhNHxVhw5lvOq
131,"Goosebumps - Remix","Travis Scott",367428,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
132,Baari,"Bilal Saeed",366268,https://open.spotify.com/track/7cuYb19oTyv1tLTgzH7qpv
133,Adhiya,"Karan Aujla",365519,https://open.spotify.com/track/5LEjxlKCcYH8irGpRtjbj0
134,Saibo,Sachin-Jigar,364499,https://open.spotify.com/track/6udC4b4jOSnHb9ItnXgKLR
135,"Chitti (From ""Jathi Ratnalu"")","Ram Miriyala",357603,https://open.spotify.com/track/6Z40IRipd6pNcUULY6SXng
136,"7 rings","Ariana Grande",356528,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
137,Kabira,Pritam,354526,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
138,"Asal Mein","Darshan Raval",350987,https://open.spotify.com/track/0rMeOAvbQZ2RTG4B6L1M4p
139,FRIENDS,Marshmello,350713,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
140,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",350505,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
141,"Top Tucker","Uchana Amit",348050,https://open.spotify.com/track/3ibDXkPA4Ijz24UxbFcNMi
142,"On My Way","Alan Walker",346836,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
143,"Tu Aake Dekhle",King,345113,https://open.spotify.com/track/0yCWDaAgOtg6TKlNCg9rwA
144,Arcade,"Duncan Laurence",341529,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
145,"Humnava Mere","Jubin Nautiyal",340421,https://open.spotify.com/track/0loZn1c5heXie7OAtvK6nH
146,Attention,"Charlie Puth",340194,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
147,"Yaad Piya Ki Aane Lagi","Neha Kakkar",339901,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
148,"Chellamma (From ""Doctor"")","Anirudh Ravichander",339472,https://open.spotify.com/track/0fGclndst25Qqy8j4u5De5
149,"Ek Tarfa","Darshan Raval",338316,https://open.spotify.com/track/64r6z0P3RnhpTGdkA7p5Os
150,"Savage Love (Laxed - Siren Beat)","Jawsh 685",338121,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
151,"you broke me first","Tate McRae",336570,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
152,"Roses - Imanbek Remix","SAINt JHN",335173,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
153,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",332907,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
154,"Alone, Pt. II","Alan Walker",332035,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
155,"Ye Tune Kya Kiya",Pritam,331015,https://open.spotify.com/track/2cPUB8EOT6AfJ8oxhyoNXL
156,"Old Skool","Prem Dhillon",330943,https://open.spotify.com/track/4V9rQZOGILc4YfBnCDXgTz
157,"Vaathi Raid","Anirudh Ravichander",330871,https://open.spotify.com/track/4PML5RtrVcYAwTTS46otXB
158,"Andha Kanna Paathaakaa","Anirudh Ravichander",329092,https://open.spotify.com/track/0qvoxfYodIfe14gaidhnsV
159,Saiyaan,"Jass Manak",326642,https://open.spotify.com/track/1vHOUhZDOxvP0QzITGaKuO
160,"Muqabla (From ""Street Dancer 3D"")","Yash Narvekar",326553,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8
161,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",326329,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu
162,"Mast Magan (From ""2 States"")","Arijit Singh",325607,https://open.spotify.com/track/4wIWWEhbdgKAxhR68eE0Ye
163,Takeover,"AP Dhillon",324844,https://open.spotify.com/track/5DVnSQ90r2M3gm6XbgTCLp
164,"Ae Dil Hai Mushkil Title Track",Pritam,323484,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI
165,"52 Gaj Ka Daman","Renuka Panwar",322570,https://open.spotify.com/track/6WsSXAOzm6xpWRivqdt98X
166,"Udd Gaye",Ritviz,322533,https://open.spotify.com/track/5ZsAhuQ24mWHiduaxJqnhW
167,"Tum Se Hi (From ""Sadak 2"")","Ankit Tiwari",322019,https://open.spotify.com/track/2fwd3t4N8QNy9w7VT1zC97
168,"It's You","Ali Gatie",321108,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
169,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",317791,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
170,"Ve Maahi","Arijit Singh",315414,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
171,Toxic,"AP Dhillon",314956,https://open.spotify.com/track/4faDlXyZMSxEuxBdd5gDIz
172,"bad guy","Billie Eilish",314636,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
173,"Jeena Jeena (From ""Badlapur"")","Atif Aslam",312670,https://open.spotify.com/track/6h09y5UH6sDRERJALlaJPi
174,Goosebumps,HVME,312432,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
175,"Kaali Raat","Karan Randhawa",311764,https://open.spotify.com/track/2zEYBr5hMe7FWoh6va2Hn3
176,Safari,Serena,310154,https://open.spotify.com/track/3C9kY7XZh6GCEmfazGJ2UB
177,"Fallin for You","Shrey Singhal",309100,https://open.spotify.com/track/3uOh60vBloFwAv1akxP5Mj
178,"Jalebi Baby",Tesher,308513,https://open.spotify.com/track/36jCLvkQD1ro4spuJtF84m
179,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik",308350,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk
180,"Channa Mereya",Pritam,307357,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM
181,"O Saki Saki (From ""Batla House"")","Neha Kakkar",306971,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
182,Pal,Javed-Mohsin,306642,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC
183,Samjhawan,"Jawad Ahmad",305616,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq
184,"Khatam Hue Waande","Emiway Bantai",305582,https://open.spotify.com/track/3LlEnO0INKAExVe4JMi7p7
185,"8 Parche","Baani Sandhu",305447,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen
186,"Tum Hi Ho (From ""Aashiqui 2"")","Arijit Singh",303912,https://open.spotify.com/track/7ouBSPZKQpm7zQz2leJXta
187,Bhabi,"Kamal Khaira",303726,https://open.spotify.com/track/3RRvzCenxnnrZwmZ3MiGkP
188,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",302890,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
189,"Love Story","Taylor Swift",302738,https://open.spotify.com/track/7bad461siaxECNlaYsmIo6
190,"Bilionera - Radio Edit",Otilia,295061,https://open.spotify.com/track/0sWilEfhUbTedj2CF073St
191,Zaalima,"Arijit Singh",294771,https://open.spotify.com/track/4fgJe7zBjVXvs8HxtE21Y9
192,Starboy,"The Weeknd",294608,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
193,Samajavaragamana,"Sid Sriram",294482,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy
194,Cradles,"Sub Urban",294132,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
195,"Same Beef",Bohemia,294003,https://open.spotify.com/track/65c6VCikt7f5sAS1heoYQC
196,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,293325,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
197,"Yaen Ennai Pirindhaai - Male","Sid Sriram",288940,https://open.spotify.com/track/2GYzXSeNa3Y0BfIfS1VJj3
198,"Into Your Arms (feat. Ava Max)","Witt Lowry",288556,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
199,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",286954,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
200,"ily (i love you baby) (feat. Emilee)","Surf Mesa",285894,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
