,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Brown Munde","AP Dhillon",2470436,https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4
2,"Ghalat Fehmi - From ""Superstar""","Asim Azhar",1595984,https://open.spotify.com/track/5mnvugwfFYnJm9zuyGkgqF
3,"Lut Gaye","Jubin Nautiyal",1292387,https://open.spotify.com/track/2ufLEVbzvEcJ3subW8jBUp
4,Shayad,Pritam,1240036,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
5,"Astronaut In The Ocean","Masked Wolf",1158693,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",1109139,https://open.spotify.com/track/2FCXQHugkoHE1K3tiDu8pu
7,Libaas,Kaka,1101689,https://open.spotify.com/track/0vqw3BCyNr3DDVBmjD21H8
8,"drivers license","Olivia Rodrigo",1064049,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
9,"Saiyaan Ji","Yo Yo Honey Singh",1003654,https://open.spotify.com/track/39QJ7KkN3L8LLqQqsO85W1
10,Guilty,"Inder Chahal",931525,https://open.spotify.com/track/2W9awzkFJzPRddvLXtCSOU
11,Dynamite,BTS,880722,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
12,Liggi,Ritviz,880654,https://open.spotify.com/track/4vwPirpSJCOiIsgxMV4Xcv
13,"Blinding Lights","The Weeknd",876039,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,Khairiyat,Pritam,844194,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
15,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",830288,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
16,"Aabaad Barbaad",Pritam,788139,https://open.spotify.com/track/3jxNbVmugKWFFc3YAVl0sD
17,"Chhor Denge",Sachet-Parampara,777925,https://open.spotify.com/track/5SYcKZYmQnHBW1LGLOi8sH
18,Titliaan,"Afsana Khan",767015,https://open.spotify.com/track/1980E4Grgu5xAhNbFZ1mb1
19,"Mood (feat. iann dior)",24kGoldn,762015,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
20,"Naach Meri Rani","Guru Randhawa",745734,https://open.spotify.com/track/1orM67pmkNc4alrZkWjYkV
21,Waalian,Harnoor,737415,https://open.spotify.com/track/4hOsYVSWKWP71u3yQbcqZB
22,Hukam,"Karan Aujla",735755,https://open.spotify.com/track/3CslTKRGmBGgEsCUnCfn67
23,Mirchi,DIVINE,723332,https://open.spotify.com/track/7zKzD5wM18bQSiJTAxTpwH
24,"Vaathi Coming","Anirudh Ravichander",720582,https://open.spotify.com/track/2BcPFQ7nrtUObgAs72xaac
25,"Master the Blaster - Background Score","Anirudh Ravichander",713809,https://open.spotify.com/track/4BRWG0mQqol30OG5xLIplN
26,positions,"Ariana Grande",711812,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
27,"Ghungroo (From ""War"")","Arijit Singh",697002,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
28,"Rabba Mehar Kari","Darshan Raval",673009,https://open.spotify.com/track/7oUCpKXbK5PdNB0ytPOSqH
29,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",651037,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
30,"Teri Aankhon Mein","Darshan Raval",650963,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
31,"Jala Jala Jalapaatham Nuvvu","Devi Sri Prasad",646125,https://open.spotify.com/track/3NF3c438tAguEcWvU4b5iA
32,Makhna,"Tanishk Bagchi",641044,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
33,"Save Your Tears","The Weeknd",637661,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
34,"First Kiss","Yo Yo Honey Singh",636174,https://open.spotify.com/track/1nhJF3mMAL9UgBz3vLLNuM
35,Whoopty,CJ,630934,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
36,Gutt,"Arjan Dhillon",629480,https://open.spotify.com/track/6Y8r5v3lwWX80fr7oRNK9V
37,"Play Date","Melanie Martinez",624447,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
38,Señorita,"Shawn Mendes",619340,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
39,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",607482,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
40,"lovely (with Khalid)","Billie Eilish",607262,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
41,"Life Goes On",BTS,606639,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
42,"3:59 AM",DIVINE,599647,https://open.spotify.com/track/2gNMXJDKRmKWuevBGjN8wo
43,Copines,"Aya Nakamura",595362,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
44,"Kalank (Title Track)","Arijit Singh",586484,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
45,Believer,"Imagine Dragons",583808,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
46,"Taaron Ke Shehar","Neha Kakkar",577709,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
47,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",571860,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
48,"No Competition","Jass Manak",571728,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
49,"BurjKhalifa (From ""Laxmii"")",Shashi,566802,https://open.spotify.com/track/3ZVKI8jix6PjEFx2xFBFhz
50,Raule,"Jassa Dhillon",560874,https://open.spotify.com/track/7HNlOqClNtvQxwC4JENKvn
51,"Sira E Hou","Amrit Maan",559783,https://open.spotify.com/track/0b4HHjeg2b8xLj28WWnUkM
52,"Duniyaa (From ""Luka Chuppi"")",Akhil,558976,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
53,Nayan,"Dhvani Bhanushali",550931,https://open.spotify.com/track/2KrrAi2smn5Fa7sy7TxrKg
54,"Let Me Down Slowly","Alec Benjamin",539788,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
55,"Namo Namo","Amit Trivedi",532875,https://open.spotify.com/track/5QtQFSdyZEl0w4iDxAyv76
56,"Bewafa Tera Masoom Chehra","Rochak Kohli",532216,https://open.spotify.com/track/2plj6f8TqOF0YNuHd2VzJD
57,Jashn-E-Bahaaraa,"A.R. Rahman",529315,https://open.spotify.com/track/1O5mTSQa0sCce9ghhDqIZl
58,"The Nights",Avicii,528268,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
59,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",517326,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
60,"Care Ni Karda (From ""Chhalaang"")","Sweetaj Brar",513521,https://open.spotify.com/track/6e5DH8YHXdM40ROnD76hZd
61,Sin,"Sidhu Moose Wala",506696,https://open.spotify.com/track/5vwpOLQh2PpIbuJSjHhFwZ
62,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")","Jasmine Sandlas",492374,https://open.spotify.com/track/11IAzj9706fIKBVCJyMNNt
63,Falling,"Trevor Daniel",489219,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
64,Closer,"The Chainsmokers",483170,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
65,"Genda Phool (feat. Payal Dev)",Badshah,481889,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
66,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",481831,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
67,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,479113,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
68,Memories,"Maroon 5",472887,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
69,Perfect,"Ed Sheeran",469916,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
70,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",467441,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
71,"Dusk Till Dawn (feat. Sia) - Radio Edit",ZAYN,461165,https://open.spotify.com/track/3e7sxremeOE3wTySiOhGiP
72,"Jaan Ban Gaye",Mithoon,456189,https://open.spotify.com/track/30CDYWqqitNHUa0DGaUeIE
73,"Kho Gaye Hum Kahan","Jasleen Royal",455819,https://open.spotify.com/track/6nZiYSBwPQ7fYnVWkkkj4g
74,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",454782,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
75,"Keh Len De",Kaka,451287,https://open.spotify.com/track/3CHZhkihLupVrfYIyg869S
76,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",450831,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
77,"WITHOUT YOU","The Kid LAROI",450629,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
78,"Sawan Mein Lag Gayi Aag (From ""Ginny Weds Sunny"")","Mika Singh",447247,https://open.spotify.com/track/75blgc6LjSNv4MQyJkPka7
79,Mehrama,Pritam,444011,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
80,34+35,"Ariana Grande",440301,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
81,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",438453,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
82,"Jingle Bell","Yo Yo Honey Singh",436616,https://open.spotify.com/track/5plNXrJBcw8YFv8c2lkLwX
83,Qaafirana,"Arijit Singh",434783,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
84,"Levitating (feat. DaBaby)","Dua Lipa",434516,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
85,"Okey Oka Lokam","Arun Chiluveru",434400,https://open.spotify.com/track/0CHCU726JnK7AIdbqrzN9Y
86,"Love Your Voice",JONY,433748,https://open.spotify.com/track/75VNPADAFa4iNpjEBUYMhF
87,Chidiya,Vilen,431382,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
88,"How You Like That",BLACKPINK,429682,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
89,"Titliaan Warga","Harrdy Sandhu",427190,https://open.spotify.com/track/37TjLqLaiOX1QmcKPgb3TC
90,"Main Tumhara","A.R. Rahman",426044,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
91,"Lost Love","Prem Dhillon",424298,https://open.spotify.com/track/2L1cfBLg1wNI5ZIpAAv6Wc
92,"Without Me",Halsey,422404,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
93,"death bed (coffee for your head)",Powfu,422211,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
94,"Kinna Sona","Sunil Kamath",421623,https://open.spotify.com/track/2gXZp1zDDA5bnPsLwrSMRj
95,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",409281,https://open.spotify.com/track/1NX33DecZrq4ZUGDc47AfN
