,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
149,"Humnava Mere","Jubin Nautiyal",298047,https://open.spotify.com/track/0loZn1c5heXie7OAtvK6nH
150,"First Kiss","Yo Yo Honey Singh",297352,https://open.spotify.com/track/1nhJF3mMAL9UgBz3vLLNuM
151,"Care Ni Karda (From ""Chhalaang"")","Sweetaj Brar",297321,https://open.spotify.com/track/6e5DH8YHXdM40ROnD76hZd
152,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",296961,https://open.spotify.com/track/1NX33DecZrq4ZUGDc47AfN
153,Titliaan,"Afsana Khan",295995,https://open.spotify.com/track/1980E4Grgu5xAhNbFZ1mb1
154,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",295721,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu
155,Pran,Ritviz,291877,https://open.spotify.com/track/0yQIhApPPxaPzsgy7FIGnA
156,Satisfya,"Imran Khan",290899,https://open.spotify.com/track/6HGoVbCUr63SgU3TjxEVj6
157,"Humdard (From ""Ek Villain"")","Arijit Singh",290450,https://open.spotify.com/track/2PvaburAUlhNHxVhw5lvOq
158,"Tum Hi Ho (From ""Aashiqui 2"")","Arijit Singh",290384,https://open.spotify.com/track/7ouBSPZKQpm7zQz2leJXta
159,Toxic,"AP Dhillon",289605,https://open.spotify.com/track/4faDlXyZMSxEuxBdd5gDIz
160,"Sawan Mein Lag Gayi Aag (From ""Ginny Weds Sunny"")","Mika Singh",288912,https://open.spotify.com/track/75blgc6LjSNv4MQyJkPka7
161,"O Saki Saki (From ""Batla House"")","Neha Kakkar",287954,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
162,"Slumber Party (feat. Princess Nokia)",Ashnikko,287619,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
163,"Buttabomma - Telugu","Armaan Malik",285280,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS
164,"bad guy","Billie Eilish",284534,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
165,"WITHOUT YOU","The Kid LAROI",284354,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
166,Mazaa,"B Praak",283630,https://open.spotify.com/track/78MtqaMTxsamXztLQjEnyV
167,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",279227,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
168,willow,"Taylor Swift",277110,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
169,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",276325,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
170,"Don't Start Now","Dua Lipa",275730,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
171,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",275096,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
172,Cradles,"Sub Urban",273786,https://open.spotify.com/track/18A7ha5BitZjmdHTCwXFbU
173,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",272821,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
174,"Savage Love (Laxed - Siren Beat)","Jawsh 685",272141,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
175,Safari,Serena,271540,https://open.spotify.com/track/3C9kY7XZh6GCEmfazGJ2UB
176,"Kinna Sona","Sunil Kamath",266785,https://open.spotify.com/track/2gXZp1zDDA5bnPsLwrSMRj
177,"Main Tumhara","A.R. Rahman",266255,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
178,RAPSTAR,"Polo G",264964,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
179,"Asal Mein","Darshan Raval",263801,https://open.spotify.com/track/0rMeOAvbQZ2RTG4B6L1M4p
180,"Boss Bitch","Doja Cat",263497,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
181,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",262430,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
182,Baarishein,"Anuv Jain",262272,https://open.spotify.com/track/5iCY0TXNImK4hyKfcplQsg
183,"Dil Diyan Gallan","Atif Aslam",260979,https://open.spotify.com/track/0FBQ4NrrHUbR9kus7rzrOj
184,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",259815,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
185,"Mann Mera (From ""Table No. 21"")","Gajendra Verma",259594,https://open.spotify.com/track/2BeY2dQPbD8xYxx3yhBTVD
186,Sakhiyaan,"Maninder Buttar",258056,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
187,"you broke me first","Tate McRae",257281,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
188,Thunder,"Imagine Dragons",257159,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
189,"Channa Mereya",Pritam,256523,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM
190,Pal,Javed-Mohsin,255988,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC
191,"Shraab Wargi","Dilpreet Dhillon",255515,https://open.spotify.com/track/6S2vLyxHGfvottSMSL2Y9B
192,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",254819,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
193,Zaalima,"Arijit Singh",253133,https://open.spotify.com/track/4fgJe7zBjVXvs8HxtE21Y9
194,Gone,ROSÉ,253115,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
195,34+35,"Ariana Grande",252860,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
196,Wolves,"Selena Gomez",252275,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
197,"Jeena Jeena (From ""Badlapur"")","Atif Aslam",251738,https://open.spotify.com/track/6h09y5UH6sDRERJALlaJPi
198,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",250944,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
199,Moonlight,Harnoor,250831,https://open.spotify.com/track/5FTcLPsQFX2NZaBQHbTz06
200,"Tu Jaane Na",YSRBEATS,249870,https://open.spotify.com/track/434Qor4PNiylgZGlbbnQ5a
