,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1885752,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"Lut Gaye","Jubin Nautiyal",1817914,https://open.spotify.com/track/2ufLEVbzvEcJ3subW8jBUp
3,Runaway,AURORA,1804487,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
4,"Brown Munde","AP Dhillon",1765638,https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4
5,"MONTERO (Call Me By Your Name)","Lil Nas X",1427349,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
6,"Baarish Ki Jaaye","B Praak",1233497,https://open.spotify.com/track/4OQFlJOSID2AzpmOcuDlJl
7,"Astronaut In The Ocean","Masked Wolf",1230421,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
8,"Tu Aake Dekhle",King,1144304,https://open.spotify.com/track/0yCWDaAgOtg6TKlNCg9rwA
9,Arcade,"Duncan Laurence",1130750,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
10,"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")",Sachin-Jigar,1100496,https://open.spotify.com/track/2PEo8JQ48mfEv8a2HLqDvt
11,SugarCrash!,ElyOtto,1025909,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
12,"Heartbreak Anniversary",Giveon,1006950,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
13,"At My Worst","Pink Sweat$",999257,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
14,"Thoda Thoda Pyaar","Stebin Ben",911368,https://open.spotify.com/track/5nsET7aVWXu017lsQjRFCV
15,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",859526,https://open.spotify.com/track/2FCXQHugkoHE1K3tiDu8pu
16,Shayad,Pritam,821279,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
17,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",796677,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
18,Dynamite,BTS,781534,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
19,"Enjoy Enjaami",Dhee,732389,https://open.spotify.com/track/1baHxgYktT8eDdmtTozJF9
20,Insane,"AP Dhillon",672361,https://open.spotify.com/track/3UhmuWcFaLS3AO3kI9ynQ2
21,Liggi,Ritviz,610622,https://open.spotify.com/track/4vwPirpSJCOiIsgxMV4Xcv
22,"Blinding Lights","The Weeknd",603489,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
23,Khairiyat,Pritam,591865,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
24,"Few Days","Amantej Hundal",590531,https://open.spotify.com/track/2ccThCjEt1t1SF72mP7as2
25,Kanaa,Nucleya,581743,https://open.spotify.com/track/6J2pC3j9WF4tVJo4mEHZdn
26,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",577306,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
27,"Levitating (feat. DaBaby)","Dua Lipa",567933,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,"Play Date","Melanie Martinez",563161,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
29,"Film out",BTS,563099,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
30,"drivers license","Olivia Rodrigo",563045,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
31,"Hold On","Justin Bieber",560187,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
32,"Mood (feat. iann dior)",24kGoldn,557021,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
33,Waalian,Harnoor,551194,https://open.spotify.com/track/4hOsYVSWKWP71u3yQbcqZB
34,Believer,"Imagine Dragons",550280,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
35,"lovely (with Khalid)","Billie Eilish",546669,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
36,Señorita,"Shawn Mendes",543752,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
37,"Vaathi Coming","Anirudh Ravichander",535494,https://open.spotify.com/track/2BcPFQ7nrtUObgAs72xaac
38,Talja,"Jassa Dhillon",506718,https://open.spotify.com/track/1E4BrvZRKjcrfCkQS1iDfj
39,"Aabaad Barbaad",Pritam,506281,https://open.spotify.com/track/3jxNbVmugKWFFc3YAVl0sD
40,Copines,"Aya Nakamura",502623,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
41,"Let Me Down Slowly","Alec Benjamin",500817,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
42,Up,"Cardi B",489940,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
43,"Saiyaan Ji","Yo Yo Honey Singh",489880,https://open.spotify.com/track/39QJ7KkN3L8LLqQqsO85W1
44,"Pani Di Gal","Maninder Buttar",483030,https://open.spotify.com/track/410NHwz8mMvM0AYxKJooy3
45,positions,"Ariana Grande",473334,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
46,"Ghalat Fehmi - From ""Superstar""","Asim Azhar",472054,https://open.spotify.com/track/5mnvugwfFYnJm9zuyGkgqF
47,telepatía,"Kali Uchis",468722,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
48,Jashn-E-Bahaaraa,"A.R. Rahman",466017,https://open.spotify.com/track/1O5mTSQa0sCce9ghhDqIZl
49,"The Nights",Avicii,465438,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
50,"Save Your Tears","The Weeknd",464421,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
51,"Saranga Dariya",Mangli,460882,https://open.spotify.com/track/74IQCxI4nws964fic1Q4pv
52,"Life Goes On",BTS,449586,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
53,"Ghungroo (From ""War"")","Arijit Singh",448591,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
54,"Chitti (From ""Jathi Ratnalu"")","Ram Miriyala",444211,https://open.spotify.com/track/6Z40IRipd6pNcUULY6SXng
55,"Namo Namo","Amit Trivedi",442965,https://open.spotify.com/track/5QtQFSdyZEl0w4iDxAyv76
56,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",442559,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
57,Libaas,Kaka,439438,https://open.spotify.com/track/0vqw3BCyNr3DDVBmjD21H8
58,"Dusk Till Dawn (feat. Sia) - Radio Edit",ZAYN,435060,https://open.spotify.com/track/3e7sxremeOE3wTySiOhGiP
59,"Taaron Ke Shehar","Neha Kakkar",433842,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
60,"8 Raflaan (feat. Gurlez Akhtar)","Mankirt Aulakh",421557,https://open.spotify.com/track/7vUfIIQiH3K3J5tmN46HE5
61,"Naach Meri Rani","Guru Randhawa",418750,https://open.spotify.com/track/1orM67pmkNc4alrZkWjYkV
62,"Bewafa Tera Masoom Chehra","Rochak Kohli",416045,https://open.spotify.com/track/2plj6f8TqOF0YNuHd2VzJD
63,"Teri Aankhon Mein","Darshan Raval",415766,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
64,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",415553,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
65,Makhna,"Tanishk Bagchi",411169,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
66,Closer,"The Chainsmokers",407832,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
67,"Duniyaa (From ""Luka Chuppi"")",Akhil,404184,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
68,"Kalank (Title Track)","Arijit Singh",402242,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
69,Perfect,"Ed Sheeran",401629,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
70,Memories,"Maroon 5",397994,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
71,Mirchi,DIVINE,394187,https://open.spotify.com/track/7zKzD5wM18bQSiJTAxTpwH
72,"How You Like That",BLACKPINK,391993,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
73,"Panghat (From ""Roohi"")",Sachin-Jigar,391327,https://open.spotify.com/track/2g8fA9Ijc3sAlfkQFlYxsf
74,"Kun Faya Kun","A.R. Rahman",382576,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6
75,Saibo,Sachin-Jigar,382125,https://open.spotify.com/track/6udC4b4jOSnHb9ItnXgKLR
76,"deja vu","Olivia Rodrigo",381468,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
77,"BurjKhalifa (From ""Laxmii"")",Shashi,380689,https://open.spotify.com/track/3ZVKI8jix6PjEFx2xFBFhz
78,"Udd Gaye",Ritviz,380237,https://open.spotify.com/track/5ZsAhuQ24mWHiduaxJqnhW
79,"Sira E Hou","Amrit Maan",379334,https://open.spotify.com/track/0b4HHjeg2b8xLj28WWnUkM
80,"Boy With Luv (feat. Halsey)",BTS,378870,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
81,Falling,"Trevor Daniel",374062,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
82,"Sugar & Brownies",DHARIA,371710,https://open.spotify.com/track/3EZocpoj4dsFqsluUGHnwT
83,"Khabbi Seat","Ammy Virk",368385,https://open.spotify.com/track/4aK30RcFKxsiF1gjLlH5Gt
84,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",368186,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
85,"Without Me",Halsey,368070,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
86,"Kiss Me More (feat. SZA)","Doja Cat",367873,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
87,"3:59 AM",DIVINE,365659,https://open.spotify.com/track/2gNMXJDKRmKWuevBGjN8wo
88,"Ek Tarfa","Darshan Raval",365026,https://open.spotify.com/track/64r6z0P3RnhpTGdkA7p5Os
89,"Leave The Door Open","Bruno Mars",364553,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
90,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",363828,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
91,Guilty,"Inder Chahal",363084,https://open.spotify.com/track/2W9awzkFJzPRddvLXtCSOU
92,Nayan,"Dhvani Bhanushali",358828,https://open.spotify.com/track/2KrrAi2smn5Fa7sy7TxrKg
93,"Shape of You","Ed Sheeran",357775,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
94,"Jaan Ban Gaye",Mithoon,354931,https://open.spotify.com/track/30CDYWqqitNHUa0DGaUeIE
95,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")","Jasmine Sandlas",353701,https://open.spotify.com/track/11IAzj9706fIKBVCJyMNNt
96,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",353669,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
97,"Tum Se Hi",Pritam,350361,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE
98,"Kutty Pattas","Santhosh Dhayanidhi",349005,https://open.spotify.com/track/7AHKnQ6XB5l7GL4pTJWLZn
99,Faded,"Alan Walker",347521,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
100,"Master the Blaster - Background Score","Anirudh Ravichander",347223,https://open.spotify.com/track/4BRWG0mQqol30OG5xLIplN
101,"Someone You Loved","Lewis Capaldi",344495,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
102,Qaafirana,"Arijit Singh",342587,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
103,"Kho Gaye Hum Kahan","Jasleen Royal",341846,https://open.spotify.com/track/6nZiYSBwPQ7fYnVWkkkj4g
104,"7 rings","Ariana Grande",340815,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
105,"Chhor Denge",Sachet-Parampara,340615,https://open.spotify.com/track/5SYcKZYmQnHBW1LGLOi8sH
106,"Into Your Arms (feat. Ava Max)","Witt Lowry",339814,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
107,"On The Ground",ROSÉ,338445,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
108,"Rabba Mehar Kari","Darshan Raval",337471,https://open.spotify.com/track/7oUCpKXbK5PdNB0ytPOSqH
109,"Scars To Your Beautiful","Alessia Cara",337025,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
110,"Jatt te Jawani","Dilpreet Dhillon",336651,https://open.spotify.com/track/5oV5CJYCfOEvVkxswR6hrD
111,"death bed (coffee for your head)",Powfu,335903,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
112,"Talking to the Moon","Bruno Mars",335897,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
113,Mehrama,Pritam,334784,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
114,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,333778,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
115,Gabru,"Gur Sidhu",331569,https://open.spotify.com/track/0GwNnekTpPXcbyni4NawXD
116,Kabira,Pritam,330847,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
117,"Let Me Love You","DJ Snake",329207,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
118,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",326870,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
119,"I Like Me Better",Lauv,326065,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
120,"Tere Naal","Tulsi Kumar",325675,https://open.spotify.com/track/2Vw94w6FxCyaYwyCivi9Py
121,Whoopty,CJ,324705,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
122,FRIENDS,Marshmello,323858,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
123,Anyone,"Justin Bieber",323197,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
124,"On My Way","Alan Walker",321024,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
125,Raule,"Jassa Dhillon",319310,https://open.spotify.com/track/1IDO3YDXZEpBIT53R6QJSe
126,"Jala Jala Jalapaatham Nuvvu","Devi Sri Prasad",317690,https://open.spotify.com/track/3NF3c438tAguEcWvU4b5iA
127,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",316742,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
128,Chidiya,Vilen,316726,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
129,"Okey Oka Lokam","Arun Chiluveru",314942,https://open.spotify.com/track/0CHCU726JnK7AIdbqrzN9Y
130,"Love Your Voice",JONY,313639,https://open.spotify.com/track/75VNPADAFa4iNpjEBUYMhF
131,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",313527,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
132,Mangalyam,"Thaman S",312817,https://open.spotify.com/track/7n5Jcqw85WSfJHrMXsk5N2
133,Levitating,"Dua Lipa",312399,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
134,"Alone, Pt. II","Alan Walker",312146,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
135,"One Dance",Drake,309937,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
136,"Intentions (feat. Quavo)","Justin Bieber",308758,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
137,"Genda Phool (feat. Payal Dev)",Badshah,307537,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
138,Attention,"Charlie Puth",307362,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
139,"Watermelon Sugar","Harry Styles",306930,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
140,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",306505,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
141,"Is Qadar","Tulsi Kumar",303744,https://open.spotify.com/track/3Rvdqwgbr3rryZkNRrItt3
142,"It's You","Ali Gatie",302318,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
143,"Jaan 'Nisaar (Arijit)","Arijit Singh",302248,https://open.spotify.com/track/6pzlnyHTVYi5FOmrgOmC95
144,"Dance Monkey","Tones And I",301809,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
145,"Mast Magan (From ""2 States"")","Arijit Singh",300289,https://open.spotify.com/track/4wIWWEhbdgKAxhR68eE0Ye
146,"Goosebumps - Remix","Travis Scott",300237,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
147,"Can We Kiss Forever?",Kina,300010,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
148,"No Competition","Jass Manak",298378,https://open.spotify.com/track/1TRgZ55GFCKSbrTb62rmra
