,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lut Gaye","Jubin Nautiyal",3079097,https://open.spotify.com/track/2ufLEVbzvEcJ3subW8jBUp
2,"Brown Munde","AP Dhillon",2431429,https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4
3,"Enjoy Enjaami",Dhee,1389017,https://open.spotify.com/track/1baHxgYktT8eDdmtTozJF9
4,"Astronaut In The Ocean","Masked Wolf",1353004,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")",Sachin-Jigar,1329010,https://open.spotify.com/track/2PEo8JQ48mfEv8a2HLqDvt
6,"At My Worst","Pink Sweat$",1228925,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,Shayad,Pritam,1146360,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
8,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1028291,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
9,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",1025300,https://open.spotify.com/track/2FCXQHugkoHE1K3tiDu8pu
10,SugarCrash!,ElyOtto,1013559,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
11,"Saiyaan Ji","Yo Yo Honey Singh",918460,https://open.spotify.com/track/39QJ7KkN3L8LLqQqsO85W1
12,"Ghalat Fehmi - From ""Superstar""","Asim Azhar",903855,https://open.spotify.com/track/5mnvugwfFYnJm9zuyGkgqF
13,Liggi,Ritviz,847467,https://open.spotify.com/track/4vwPirpSJCOiIsgxMV4Xcv
14,"Chitti (From ""Jathi Ratnalu"")","Ram Miriyala",835520,https://open.spotify.com/track/6Z40IRipd6pNcUULY6SXng
15,"Hold On","Justin Bieber",833350,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
16,Dynamite,BTS,828287,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
17,"Heartbreak Anniversary",Giveon,818545,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
18,Khairiyat,Pritam,804793,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
19,Libaas,Kaka,801239,https://open.spotify.com/track/0vqw3BCyNr3DDVBmjD21H8
20,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",785161,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
21,"drivers license","Olivia Rodrigo",784057,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
22,"Blinding Lights","The Weeknd",776814,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
23,Waalian,Harnoor,765062,https://open.spotify.com/track/4hOsYVSWKWP71u3yQbcqZB
24,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",764435,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
25,"Tu Aake Dekhle",King,757002,https://open.spotify.com/track/0yCWDaAgOtg6TKlNCg9rwA
26,Arcade,"Duncan Laurence",743003,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
27,"On The Ground",ROSÉ,739616,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
28,"Aabaad Barbaad",Pritam,712488,https://open.spotify.com/track/3jxNbVmugKWFFc3YAVl0sD
29,"Taaron Ke Shehar","Neha Kakkar",708932,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
30,"Panghat (From ""Roohi"")",Sachin-Jigar,662790,https://open.spotify.com/track/2g8fA9Ijc3sAlfkQFlYxsf
31,"Naach Meri Rani","Guru Randhawa",661407,https://open.spotify.com/track/1orM67pmkNc4alrZkWjYkV
32,"Bewafa Tera Masoom Chehra","Rochak Kohli",654145,https://open.spotify.com/track/2plj6f8TqOF0YNuHd2VzJD
33,"Ghungroo (From ""War"")","Arijit Singh",652584,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
